# b_Sears.dat -- bound coherent neutron scattering lengths and cross sections.
#
# CITE:  Sears, V. F. (1992). Neutron News 3(3), 26-37.
#        Sears, V. F. "Scattering lengths for neutrons",
#        International Tables for Crystallography Vol. C, ch. 4.4.4,
#        Table 4.4.4.1.
#
# The second citation is the crystallographic reference of record and the one
# this package already relies on elsewhere (Vol. C is cited for dispersion in
# crystallography/dispersion.py, for flat-plate absorption and for the
# Lorentz-polarisation factor in schemas/instrument.py).
#
# OBTAINED FROM the NIST Center for Neutron Research's machine-readable copy,
# https://www.ncnr.nist.gov/resources/n-lengths/list.html (retrieved
# 2026-08-23) -- a convenience, not the reference, exactly as
# f0_WaasKirf.dat was obtained from the ESRF DABAX collection while citing
# Waasmaier & Kirfel.
#
# THERMAL VALUES ONLY. There is no energy dependence here. A few resonant
# absorbers -- Cd, Sm, Eu, Gd, and notably 113Cd and 157Gd -- have complex,
# wavelength-dependent b near a resonance, the neutron analogue of an X-ray
# absorption edge. At a single constant wavelength one thermal value per
# species is the right number; a time-of-flight bank spans a range of
# wavelengths and would need b(lambda), which this table cannot supply.
#
# b_coh may be NEGATIVE (a 180-degree phase shift on scattering, not an error):
# H, Li, Ti, V, Mn among the natural-abundance elements. |F|^2 stays positive;
# individual terms in the sum do not.
#
# b_coh depends on ISOTOPE, not only on element: b(1H) = -3.7406 fm against
# b(2H) = +6.671 fm is a sign change, which is why deuteration is routine.
# Rows whose symbol starts with a mass number are isotopes; the bare symbol is
# the natural-abundance average.
#
# "---" in the source means "not tabulated" and is written here as nan.
#
# columns: symbol  conc(%)  b_coh(fm)  b_inc(fm)  xs_coh(barn)  xs_inc(barn)  xs_scatt(barn)  xs_abs(barn)

86Kr            17.3           8.1             0           8.2             0           8.2         0.003
Rb               nan          7.09           nan          6.32           0.5           6.8          0.38
85Rb           72.17          7.03           nan           6.2           0.5           6.7          0.48
87Rb           27.83          7.23           nan           6.6           0.5           7.1          0.12
Sr               nan          7.02           nan          6.19          0.06          6.25          1.28
84Sr            0.56           7.1             0           6.2             0           6.2          0.87
86Sr            9.86          5.67             0          4.04             0          4.04          1.04
87Sr               7          7.40           nan          6.88           0.5           7.4          16.3
88Sr           82.58          7.15             0          6.42             0          6.42         0.058
Y                100          7.75           1.1          7.55          0.15           7.7          1.28
Zr               nan          7.16           nan          6.44          0.02          6.46         0.185
90Zr           51.45           6.4             0           5.1             0           5.1         0.011
91Zr           11.32           8.7         -1.08           9.5          0.15           9.7          1.17
92Zr           17.19           7.4             0           6.9             0           6.9          0.22
94Zr           17.28           8.2             0           8.4             0           8.4        0.0499
96Zr            2.76           5.5             0           3.8             0           3.8        0.0229
Nb               100         7.054        -0.139         6.253        0.0024         6.255          1.15
Mo               nan         6.715           nan          5.67          0.04          5.71          2.48
92Mo           14.84          6.91             0             6             0             6         0.019
94Mo            9.25          6.80             0          5.81             0          5.81         0.015
95Mo           15.92          6.91           nan             6           0.5           6.5          13.1
96Mo           16.68          6.20             0          4.83             0          4.83           0.5
97Mo            9.55          7.24           nan          6.59           0.5           7.1           2.5
98Mo           24.13          6.58             0          5.44             0          5.44         0.127
100Mo           9.63          6.73             0          5.69             0          5.69           0.4
Tc             2.3E5           6.8           nan           5.8           0.5           6.3          20.1
Ru               nan          7.03           nan          6.21           0.4           6.6          2.56
96Ru             5.5           nan             0           nan             0           nan          0.28
98Ru             1.9           nan             0           nan             0           nan           nan
99Ru            12.7           nan           nan           nan           nan           nan          6.91
100Ru           12.6           nan             0           nan             0           nan           4.8
101Ru             17           nan           nan           nan           nan           nan           3.3
102Ru           31.6           nan             0           nan             0         144.8          1.17
104Ru           18.7           nan             0           nan             0         4.483          0.31
Rh               100          5.88           nan          4.34           0.3           4.6         144.8
Pd               nan          5.91           nan          4.39         0.093          4.48           6.9
102Pd           1.02          7.77             0          7.51             0          7.51           3.4
104Pd          11.14          7.77             0          7.51             0          7.51           0.6
105Pd          22.33           5.5         -2.61           3.8           0.8          4.61          20.3
106Pd          27.33           6.4             0           5.1             0           5.1         0.304
108Pd          26.46           4.1             0           2.1             0           2.1          8.55
110Pd          11.72          7.77             0          7.51             0          7.51         0.226
Ag               nan         5.922           nan         4.407          0.58          4.99          63.3
107Ag          51.83         7.555          1.00          7.17          0.13           7.3         37.61
109Ag          48.17         4.165         -1.60          2.18          0.32           2.5         91.01
Cd               nan          4.87           nan          3.04          3.46           6.5       2520.50
106Cd           1.25           5.2             0           3.1             0          3.12             1
108Cd           0.89           5.4             0           3.7             0           3.7           1.1
110Cd          12.51           5.9             0           4.4             0           4.4            11
111Cd          12.81           6.5           nan           5.3           0.3           5.6            24
112Cd          24.13           6.4             0           5.1             0           5.1           2.2
113Cd          12.22          -8.0           nan          12.1           0.3          12.4     20600.400
114Cd          28.72           7.5             0           7.1             0           7.1          0.34
116Cd           7.47           6.3             0             5             0             5         0.075
In               nan         4.065           nan          2.08          0.54          2.62        193.81
113In            4.3          5.39           nan          3.65      0.000037          3.65         12.01
115In           95.7          4.01          -2.1          2.02          0.55          2.57         202.2
Sn               nan         6.225           nan         4.871         0.022         4.892         0.626
112Sn              1           6.1             0          4.51             0          4.51             1
114Sn            0.7           6.2             0           4.8             0           4.8         0.114
115Sn            0.4           6.1           nan          4.51           0.3          4.81          30.7
116Sn           14.7          5.93             0          4.42             0          4.42          0.14
117Sn            7.7          6.48           nan          5.28           0.3           5.6           2.3
118Sn           24.3          6.07             0          4.63             0          4.63          0.22
119Sn            8.6          6.12           nan          4.71           0.3             5           2.2
120Sn           32.4          6.49             0          5.29             0          5.29          0.14
122Sn            4.6          5.74             0          4.14             0          4.14          0.18
124Sn            5.6          5.97             0          4.48             0          4.48         0.133
Sb               nan          5.57           nan           3.9         0.007           3.9          4.91
121Sb           57.3          5.71         -0.05           4.1        0.0003           4.1          5.75
123Sb           42.7          5.38         -0.10          3.64         0.001          3.64           3.8
Te               nan          5.80           nan          4.23          0.09          4.32           4.7
120Te          0.096           5.3             0           3.5             0           3.5           2.3
122Te            2.6           3.8             0           1.8             0           1.8           3.4
123Te          0.908         -0.05         -2.04         0.002          0.52          0.52        418.30
124Te          4.816          7.96             0             8             0             8          6.81
125Te           7.14          5.02         -0.26          3.17         0.008          3.18          1.55
126Te          18.95          5.56             0          3.88             0          3.88          1.04
128Te          31.69          5.89             0          4.36             0          4.36         0.215
130Te           33.8          6.02             0          4.55             0          4.55          0.29
I                100          5.28          1.58           3.5          0.31          3.81          6.15
Xe               nan          4.92          3.04          2.96             0           nan         23.91
124Xe            0.1           nan             0           nan             0           nan        165.20
126Xe           0.09           nan             0           nan             0           nan           3.5
128Xe           1.91           nan             0           nan             0           nan           nan
129Xe           26.4           nan           nan           nan           nan           nan          21.5
130Xe            4.1           nan             0           nan             0           nan           nan
131Xe           21.2           nan           nan           nan           nan           nan         85.10
132Xe           26.9           nan             0           nan             0           nan          0.45
134Xe           10.4           nan             0           nan             0           nan         0.265
136Xe            8.9           nan             0           nan             0           nan          0.26
Cs               100          5.42          1.29          3.69          0.21           3.9         29.01
Ba               nan          5.07           nan          3.23          0.15          3.38           1.1
130Ba           0.11          -3.6             0           1.6             0           1.6          30.5
132Ba            0.1           7.8             0           7.6             0           7.6             7
134Ba           2.42           5.7             0          4.08             0          4.08          2.01
135Ba           6.59          4.67           nan          2.74           0.5           3.2           5.8
136Ba           7.85          4.91             0          3.03             0          3.03          0.68
137Ba          11.23          6.83           nan          5.86           0.5           6.4           3.6
138Ba           71.7          4.84             0          2.94             0          2.94          0.27
La               nan          8.24           nan          8.53          1.13          9.66          8.97
138La           0.09           8.2           nan           8.4           0.5          8.54          57.6
139La          99.91          8.24           3.0          8.53          1.13          9.66          8.93
Ce               nan          4.84           nan          2.94         0.001          2.94          0.63
136Ce           0.19          5.80             0          4.23             0          4.23          7.31
138Ce           0.25          6.70             0          5.64             0          5.64           1.1
140Ce          88.48          4.84             0          2.94             0          2.94          0.57
142Ce          11.08          4.75             0          2.84             0          2.84          0.95
Pr               100          4.58         -0.35          2.64         0.015          2.66          11.5
Nd               nan          7.69           nan          7.43           9.2          16.6         50.51
142Nd          27.16           7.7             0           7.5             0           7.5          18.7
143Nd          12.18          14.2           nan          25.7          55.7          80.2        337.10
144Nd           23.8           2.8             0             1             0             1           3.6
145Nd           8.29          14.2           nan          25.7           5.5          30.9          42.2
146Nd          17.19           8.7             0           9.5             0           9.5           1.4
148Nd           5.75           5.7             0           4.1             0           4.1           2.5
150Nd           5.63           5.3             0           3.5             0           3.5           1.2
Pm              2.62          12.6           nan         20.01          1.32         21.31        168.43
Sm               nan          0.80           nan         0.422          39.3          39.3       5922.56
144Sm            3.1          -3.4             0           1.3             0           1.3           0.7
147Sm           15.1          14.3           nan         25.11         14319         39.16          57.3
148Sm           11.3          -3.4             0           1.3             0           1.3           2.4
149Sm           13.9         -19.2           nan          63.5         137.5         200.5     42080.400
150Sm            7.4          14.3             0         25.11             0         25.11         104.4
152Sm           26.6          -5.0             0           3.1             0           3.1         206.6
154Sm           22.6           9.3             0          11.2             0          11.2           8.4
Eu               nan          7.22           nan          6.57           2.5           9.2       4530.40
151Eu           47.8          6.13           nan           5.5           3.1           8.6      9100.100
153Eu           52.2          8.22           nan           8.5           1.3           9.8         312.7
Gd               nan           6.5           nan          29.3         151.2         180.2     49700.125
152Gd            0.2          10.3             0          13.8             0          13.8        735.20
154Gd            2.1          10.3             0          13.8             0          13.8         85.12
155Gd           14.8           6.0           nan          40.8          25.6          66.6     61100.400
156Gd           20.6           6.3             0             5             0             5          1.51
157Gd           15.7         -1.14           nan         650.4         394.7        1044.8    259000.700
158Gd           24.8           9.2             0          10.5             0          10.5           2.2
160Gd           21.8          9.15             0         10.52             0         10.52          0.77
Tb               100          7.38         -0.17          6.84         0.004          6.84          23.4
Dy               nan          16.9           nan          35.9         54.41          90.3        994.13
156Dy           0.06           6.1             0           4.7             0           4.7          33.3
158Dy            0.1           6.4             0           5.6             0           5.6          43.6
160Dy           2.34           6.7             0           5.6             0           5.6          56.5
161Dy             19          10.3           nan          13.3           3.1          16.1        600.25
162Dy           25.5          -1.4             0          0.25             0          0.25        194.10
163Dy           24.9           5.0           1.3           3.1          0.21           3.3         124.7
164Dy           28.1          49.4             0         307.3             0         307.3       2840.40
Ho               100          8.01         -1.70          8.06          0.36          8.42         64.71
Er               nan          7.79           nan          7.63           1.1           8.7         159.4
162Er           0.14           8.8             0           9.7             0           9.7          19.2
164Er           1.56           8.2             0           8.4             0           8.4          13.2
166Er           33.4          10.6             0          14.1             0          14.1         19.61
167Er           22.9           3.0           1.0           1.1          0.13           1.2        659.16
168Er           27.1           7.4             0           6.9             0           6.9          2.74
170Er           14.9           9.6             0          11.6             0         11.61           5.8
Tm               100          7.07           0.9          6.28           0.1          6.38         100.2
Yb               nan         12.43           nan         19.42             4          23.4          34.8
168Yb           0.14         -4.07             0          2.13             0          2.13       2230.40
170Yb           3.06          6.77             0           5.8             0           5.8         11.41
171Yb           14.3          9.66         -5.59          11.7           3.9          15.6         48.62
172Yb           21.9          9.43             0          11.2             0          11.2           0.8
173Yb           16.1          9.56          -5.3          11.5           3.5            15         17.11
174Yb           31.8          19.3             0          46.8             0          46.8         69.45
176Yb           12.7          8.72             0           9.6             0           9.6          2.85
Lu               nan          7.21           nan          6.53           0.7           7.2          74.2
175Lu          97.39          7.24           nan          6.59           0.6           7.2          21.3
176Lu           2.61           6.1           nan           4.7           1.2           5.9       2065.35
Hf               nan           7.7           nan           7.6           2.6          10.2         104.1
174Hf            0.2         10.91             0          15.3             0          15.3        561.35
176Hf            5.2          6.61             0           5.5             0           5.5         23.53
177Hf           18.6          0.81           nan           0.1           0.1           0.2        373.10
178Hf           27.1           5.9             0           4.4             0           4.4          84.4
179Hf           13.7          7.46           nan             7          0.14           7.1          41.3
180Hf           35.2          13.2             0          21.9             0         21.91         13.04
Ta               nan          6.91           nan             6          0.01          6.01          20.6
180Ta          0.012           7.2           nan           6.2           0.5           7.4        563.60
181Ta         99.988          6.91         -0.29             6         0.011          6.01          20.5
W                nan          4.86           nan          2.97          1.63           4.6          18.3
180W             0.1           5.3             0           3.4             0           3.4         30.20
182W            26.3          6.97             0           6.1             0           6.1          20.7
183W            14.3          6.53           nan          5.36           0.3           5.7          10.1
184W            30.7          7.48             0          7.03             0          7.03           1.7
186W            28.6         -0.72             0         0.065             0         0.065          37.9
Re               nan           9.2           nan          10.6           0.9          11.5         89.71
185Re           37.4           9.0           nan          10.2           0.5          10.7         112.2
187Re           62.6           9.3           nan          10.9             1          11.9         76.41
Os               nan          10.7           nan          14.4           0.3          14.7            16
184Os           0.02          10.2             0          13.5             0          13.5      3000.150
186Os           1.58         11.61             0          17.5             0          17.5         80.13
187Os            1.6          10.2           nan          13.5           0.3          13.5        320.10
188Os           13.3           7.6             0           7.3             0           7.3           4.7
189Os           16.1          10.7           nan          14.4           0.5          14.9          25.4
190Os           26.4          11.0             0          15.2             0          15.2          13.1
192Os             41          11.5             0          16.6             0         16.61             2
Ir               nan          10.6           nan          14.1           0.3          14.3         425.2
191Ir           37.3           nan           nan           nan           nan           nan        954.10
193Ir           62.7           nan           nan           nan           nan           nan         111.5
Pt               nan          9.60           nan         11.58          0.13         11.71          10.3
190Pt           0.01           9.0             0          10.2             0          10.2         152.4
192Pt           0.79           9.9             0         12.31             0         12.31         10.02
194Pt           32.9         10.55             0            14             0            14          1.44
195Pt           33.8          8.83         -1.00           9.8          0.13           9.9         27.51
196Pt           25.3          9.89             0          12.3             0          12.3          0.72
198Pt            7.2           7.8             0           7.6             0           7.6          3.66
Au               100          7.63         -1.84          7.32          0.43          7.75         98.65
Hg               nan        12.692           nan         20.24           6.6          26.8        372.34
196Hg            0.2         30.31             0         115.8             0         115.8      3080.180
198Hg           10.1           nan             0           nan             0           nan             2
199Hg             17          16.9           nan          36.2          30.3          66.2       2150.48
200Hg           23.1           nan             0           nan             0           nan           nan
201Hg           13.2           nan           nan           nan           nan           nan          7.82
202Hg           29.6           nan             0           nan             0         9.828          4.89
204Hg            6.8           nan             0           nan             0           nan          0.43
Tl               nan         8.776           nan         9.678          0.21          9.89          3.43
203Tl         29.524          6.99          1.06          6.14          0.14          6.28          11.4
205Tl         70.476          9.52        -0.242         11.39         0.007          11.4         0.104
Pb               nan         9.405           nan        11.115         0.003        11.118         0.171
204Pb            1.4          9.90             0          12.3             0          12.3          0.65
206Pb           24.1          9.22             0         10.68             0         10.68          0.03
207Pb           22.1          9.28          0.14         10.82         0.002         10.82         0.699
208Pb           52.4          9.50             0         11.34             0         11.34       0.00048
Bi               100         8.532           nan         9.148        0.0084         9.156        0.0338
Po               nan           nan         0.259             0           nan           nan           nan
At               nan           nan           nan             0           nan           nan           nan
Rn               nan           nan           nan             0           nan          12.6           nan
Fr               nan           nan           nan             0           nan           nan           nan
Ra            1.60E3         10.01             0          13.3             0          13.3         12.81
Ac               nan           nan           nan             0           nan           nan           nan
Th               100         10.31             0         13.36             0         13.36          7.37
Pa            3.28E4           9.1           nan          10.4          0.13         10.53        200.62
U                nan         8.417           nan         8.903         0.005         8.908          7.57
233U          1.59E5          10.1           nan          12.8           0.1          12.9        574.71
234U           0.005          12.4             0          19.3             0          19.3        100.11
235U            0.72         10.47           nan         13.78           0.2            14        680.91
238U          99.275         8.402             0         8.871             0         8.871          2.68
Np            2.14E6         10.55           nan            14           0.5          14.5        175.92
Pu               nan           nan           nan           nan           nan           nan           nan
238Pu          87.74          14.1             0         25.01             0         25.01         558.7
239Pu         2.41E4           7.7           nan           7.5           0.2           7.7       1017.32
240Pu         6.56E3           3.5             0          1.54             0          1.54        289.61
242Pu         3.76E5           8.1             0           8.2             0           8.2          18.5
Am            7.37E3           8.3           nan           8.7           0.3          9.02         75.31
Cm               nan           nan           nan             0           nan           nan           nan
244Cm          18.10           9.5             0          11.3             0          11.3         16.21
246Cm          4.7E3           9.3             0          10.9             0          10.9          1.36
248Cm          3.5E5           7.7             0           7.5             0           7.5             3
